timestamp,total_carparks,total_lots,lots_available,avg_lots_available
2024-01-07T04:00:00+08:00,2336,740229,347286,148.6669520547945
2024-01-07T05:00:00+08:00,2336,740225,347884,148.92294520547946
2024-01-07T06:00:00+08:00,2336,740241,353777,151.44563356164383
2024-01-07T09:00:00+08:00,2336,739746,384785,164.71960616438355
2024-01-07T10:00:00+08:00,2336,740208,398803,170.72046232876713
2024-01-07T11:00:00+08:00,2336,740241,406493,174.01241438356163
2024-01-07T12:00:00+08:00,2336,739773,409572,175.3304794520548
2024-01-07T13:00:00+08:00,2336,740241,409652,175.36472602739727
2024-01-07T14:00:00+08:00,2336,740241,409693,175.38227739726028
2024-01-07T15:00:00+08:00,2336,740241,408649,174.9353595890411
2024-01-07T16:00:00+08:00,2336,740225,407237,174.33090753424656
2024-01-07T17:00:00+08:00,2336,739740,405845,173.73501712328766
2024-01-07T18:00:00+08:00,2336,739773,399528,171.03082191780823
2024-01-07T19:00:00+08:00,2336,739773,393187,168.31635273972603
2024-01-07T20:00:00+08:00,2336,739740,385369,164.96960616438355
2024-01-07T21:00:00+08:00,2336,739773,373841,160.03467465753425
2024-01-07T22:00:00+08:00,2336,740241,362505,155.18193493150685
2024-01-08T00:00:00+08:00,2336,729924,338092,144.73116438356163
2024-01-08T01:00:00+08:00,2336,729907,334410,143.15496575342465
2024-01-08T02:00:00+08:00,2336,730121,332632,142.39383561643837
2024-01-08T03:00:00+08:00,2336,731021,332727,142.43450342465752
2024-01-08T04:00:00+08:00,2336,730392,334383,143.14340753424656
2024-01-08T05:00:00+08:00,2336,729893,341057,146.00042808219177
2024-01-08T06:00:00+08:00,2336,729891,387757,165.99186643835617
2024-01-08T07:00:00+08:00,2336,730350,435538,186.4460616438356
2024-01-08T08:00:00+08:00,2336,730392,474811,203.25813356164383
2024-01-08T09:00:00+08:00,2336,729924,485506,207.83647260273972
2024-01-08T10:00:00+08:00,2336,729893,489913,209.7230308219178
2024-01-08T11:00:00+08:00,2336,730392,487676,208.7654109589041
2024-01-08T12:00:00+08:00,2336,730359,483953,207.1716609589041
2024-01-08T13:00:00+08:00,2336,729933,492422,210.7970890410959
2024-01-08T14:00:00+08:00,2336,729964,490516,209.98116438356163
2024-01-08T16:00:00+08:00,2336,730432,480036,205.49486301369862
2024-01-08T17:00:00+08:00,2336,729958,462685,198.06720890410958
2024-01-08T18:00:00+08:00,2336,730401,424831,181.86258561643837
2024-01-08T21:00:00+08:00,2336,729889,363772,155.72431506849315
2024-01-08T22:00:00+08:00,2336,729964,350695,150.12628424657535
2024-01-09T00:00:00+08:00,2336,730365,336678,144.12585616438355
2024-01-09T01:00:00+08:00,2336,730432,332770,142.4529109589041
2024-01-09T02:00:00+08:00,2336,729964,330991,141.69135273972603
2024-01-09T03:00:00+08:00,2336,729945,330394,141.43578767123287
2024-01-09T04:00:00+08:00,2336,730415,331542,141.92722602739727
2024-01-09T05:00:00+08:00,2336,729922,338586,144.94263698630138
2024-01-09T06:00:00+08:00,2336,730334,385678,165.10188356164383
2024-01-09T07:00:00+08:00,2336,729922,435068,186.24486301369862
2024-01-09T08:00:00+08:00,2336,729964,474914,203.30222602739727
2024-01-09T09:00:00+08:00,2336,730432,487205,208.56378424657535
2024-01-09T10:00:00+08:00,2336,730399,492087,210.65368150684932
2024-01-09T11:00:00+08:00,2336,730390,489534,209.56078767123287
2024-01-09T12:00:00+08:00,2336,730376,484884,207.57020547945206
2024-01-09T13:00:00+08:00,2336,730390,493524,211.26883561643837
2024-01-09T14:00:00+08:00,2336,729922,492327,210.7564212328767
2024-01-09T15:00:00+08:00,2336,730376,491106,210.23373287671234
2024-01-09T16:00:00+08:00,2336,729948,484032,207.2054794520548
2024-01-09T17:00:00+08:00,2336,729964,466543,199.71875
2024-01-09T18:00:00+08:00,2336,730432,429467,183.84717465753425
2024-01-09T19:00:00+08:00,2336,730504,399467,171.00470890410958
2024-01-09T20:00:00+08:00,2336,729963,380201,162.75727739726028
2024-01-09T21:00:00+08:00,2336,729961,366869,157.05008561643837
2024-01-09T22:00:00+08:00,2336,730462,352922,151.07962328767124
2024-01-10T00:00:00+08:00,2336,729994,336857,144.20248287671234
2024-01-10T01:00:00+08:00,2336,730450,333869,142.92337328767124
2024-01-10T02:00:00+08:00,2336,729994,331216,141.7876712328767
2024-01-10T03:00:00+08:00,2336,730462,330861,141.6357020547945
2024-01-10T04:00:00+08:00,2336,729990,331490,141.90496575342465
2024-01-10T05:00:00+08:00,2336,730446,338681,144.98330479452054
2024-01-10T06:00:00+08:00,2336,730704,387795,166.00813356164383
2024-01-10T07:00:00+08:00,2336,729994,436687,186.93792808219177
2024-01-10T08:00:00+08:00,2336,729994,475644,203.61472602739727
2024-01-10T09:00:00+08:00,2336,729963,488687,209.1982020547945
2024-01-10T10:00:00+08:00,2336,729994,491216,210.28082191780823
2024-01-10T11:00:00+08:00,2336,730462,489413,209.5089897260274
2024-01-10T12:00:00+08:00,2336,729963,484936,207.59246575342465
2024-01-10T13:00:00+08:00,2336,729994,493169,211.11686643835617
2024-01-10T14:00:00+08:00,2336,730462,492716,210.92294520547946
2024-01-10T15:00:00+08:00,2336,730462,489968,209.74657534246575
2024-01-10T16:00:00+08:00,2336,730395,484656,207.47260273972603
2024-01-10T17:00:00+08:00,2336,730429,468057,200.36686643835617
2024-01-10T18:00:00+08:00,2336,730429,433383,185.52354452054794
2024-01-10T19:00:00+08:00,2336,729994,400834,171.58989726027397
2024-01-10T20:00:00+08:00,2336,729994,380489,162.88056506849315
2024-01-10T21:00:00+08:00,2336,730429,367921,157.50042808219177
2024-01-10T22:00:00+08:00,2336,729994,352215,150.7769691780822
2024-01-11T00:00:00+08:00,2336,729980,337007,144.26669520547946
2024-01-11T01:00:00+08:00,2336,730452,333514,142.77140410958904
